127.0.0.1 - - [31/Dec/2021:20:16:11 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/intro.html HTTP/1.1" 200 4031
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/style.css HTTP/1.1" 200 3694
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/spacer.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_04.jpg HTTP/1.1" 200 5684
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_05.jpg HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_02.jpg HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_07.jpg HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_11.jpg HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_09.jpg HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_13.jpg HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_15.jpg HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_16.jpg HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_19.jpg HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_17.jpg HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/background.jpg HTTP/1.1" 200 124207
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_18.jpg HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_20.jpg HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_03.jpg HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/index_06.jpg HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /iwantalive/images/button.jpg HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:12 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:14 +0900] "GET /iwantalive/images/button_hover.jpg HTTP/1.1" 200 9783
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:24 +0900] "GET /iwantalive/Buy.jsp HTTP/1.1" 500 5257
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/index.html HTTP/1.1" 200 8242
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_21.jpg HTTP/1.1" 200 193849
0:0:0:0:0:0:0:1 - - [31/Dec/2021:20:16:33 +0900] "GET /iwantalive/images/index_25.jpg HTTP/1.1" 200 471
