127.0.0.1 - - [14/Jan/2022:19:52:38 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:39 +0900] "GET /iwantalive/20181/MAINPAGE.html HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:39 +0900] "GET /iwantalive/20181/coffee1.gif HTTP/1.1" 200 9861
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:39 +0900] "GET /iwantalive/20181/coffee2.gif HTTP/1.1" 200 19099
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:39 +0900] "GET /iwantalive/20181/coffee3.gif HTTP/1.1" 200 10388
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee4.gif HTTP/1.1" 200 9927
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee8.gif HTTP/1.1" 200 21540
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee9.gif HTTP/1.1" 200 11322
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee10.gif HTTP/1.1" 200 7994
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee11.gif HTTP/1.1" 200 13330
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee7.gif HTTP/1.1" 200 10792
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee12.gif HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee6.gif HTTP/1.1" 200 10511
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee5.gif HTTP/1.1" 200 16772
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee13.gif HTTP/1.1" 200 15775
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee15.gif HTTP/1.1" 200 16656
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /iwantalive/20181/coffee14.gif HTTP/1.1" 200 26074
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:52:41 +0900] "GET /iwantalive/20181/AME.html HTTP/1.1" 404 1107
